Well_ID		X		Y	   
Well_59		293837.47	6997627.5	   
Well_46		293867.78	7000958	   
Well_54		293872.8	6998264	   
Well_50		293877.88	6999012	   
Well_44		293887.97	7000275.5	   
Well_44T	293913.2	7000275.5	   
Well_27		293968.72	7001786.5	   
Well_27T	293993.94	7001776.5	   
Well_45		294266.5	6999532.5	   
Well_45T	294296.78	6999517.5	   
Well_28		294357.34	7000968	   
Well_28T	294387.62	7000948	   
Well_26		294528.94	7002443.5	   
Well_26T	294569.3	7002454	   
Well_60		294619.78	6997536.5	   
Well_22		294655.12	7001842.5	   
Well_22T	294685.4	7001827	   
Well_29		294730.8	7000225	   
Well_29T	294761.1	7000225	   
Well_51		294811.56	6998941.5	   
Well_55		294897.38	6998223.5	   
Well_19T	295124.5	7001074	   
Well_30T	295139.62	6999537.5	   
Well_19		295139.62	7001074	   
Well_30T	295154.78	6999492.5	   
Well_10		295356.66	7001877.5	   
Well_18		295376.84	7002560	   
Well_10T	295392		7001877.5	   
Well_18T	295417.22	7002555	   
Well_61		295477.78	6997465.5	   
Well_20T	295558.53	7000341.5	   
Well_56		295583.78	6998122.5	   
Well_20		295583.78	7000280.5	   
Well_11		295735.2	7001610	   
Well_52		295740.25	6998911	   
Well_11T	295745.28	7001554	   
Well_15		295775.56	7001044	   
Well_15T	295805.84	7001044	   
Well_31		295901.75	6999522.5	   
Well_31T	295901.75	6999603.5	   
Well_57		296340.84	6998087.5	   
Well_62		296361.03	6997354.5	   
Well_6		296391.3	7001958.5	   
Well_6T		296391.3	7001984	   
Well_7		296416.56	7001503.5	   
Well_7T		296426.66	7001478.5	   
Well_21		296467.03	7000240	   
Well_21T	296482.16	7000240	   
Well_53		296537.7	6998875.5	   
Well_32		296648.72	6999517.5	   
Well_32T	296673.97	6999487	   
Well_5		296825.38	7002105	   
Well_9		296855.66	7001286.5	   
Well_34		296926.3	7000250.5	   
Well_34T	296966.7	7000230	   
Well_8		297118.1	7001741	   
Well_8T		297143.34	7001731	   
Well_14		297158.47	7000902.5	   
Well_58		297178.66	6998052	   
Well_14T	297183.72	7000902.5	   
Well_63		297214		6997324	   
Well_42		297269.5	6998875.5	   
Well_12		297345.22	7001332	   
Well_12T	297370.47	7001337	   
Well_33T	297405.78	6999689.5	   
Well_33T	297410.84	6999623.5	   
Well_35		297622.8	7000457.5	   
Well_35T	297658.16	7000447.5	   
Well_41		297743.94	6999174	   
Well_40		297895.34	6999634	   
Well_38TB	297945.8	7001610	   
Well_38		297981.16	7001605	   
Well_43		297996.3	6998845.5	   
Well_80		298157.8	6997764	   
Well_36		298258.75	7000296	   
Well_36T	298273.88	7000291	   
Well_37T	298283.97	7001033.5	   
Well_39		298395.03	6999649	   
Well_75		298753.38	6998319.5	 
